anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8980410,2017-12-01 09:39:00,PA,2081157,,3217 WINTER ST,EXPIRED INSPECTION,41,PPA,39.959895,-75.188247,True,19104.0
8980411,2017-11-24 21:46:00,PA,4729317,,1028 RACE ST,STOP PROHIBITED CC,76,POLICE,39.95547583768649,-75.15668228837026,False,19107.0
8980412,2017-12-11 09:05:00,PA,2504640,,S BROAD ST,METER EXPIRED,26,PPA,39.925945,-75.169285,True,
8980413,2017-10-18 14:18:00,NJ,2348609,,200 N 35TH ST,OVER TIME LIMIT,26,PPA,39.959398,-75.192503,True,19104.0
8980455,2017-11-11 10:06:00,NJ,4729335,,5000 N 5TH ST,METER EXPIRED,26,PPA,40.02777,-75.132372,True,19120.0
8980456,2017-11-13 14:07:00,NJ,4729335,,3400 N BROAD ST,METER EXPIRED,26,PPA,40.005357,-75.151873,True,19140.0
8980457,2017-12-21 17:31:00,NJ,4729335,,1399 W ONTARIO ST,METER EXPIRED,26,PPA,40.004532,-75.1509,True,19140.0
8980499,2017-11-22 18:50:00,PA,4729363,,1 S 3RD ST,METER EXPIRED CC,36,PPA,39.949302,-75.14601,True,19106.0
8980500,2017-11-22 18:53:00,DE,4729364,,33 S 3RD ST,METER EXPIRED CC,36,PPA,39.949188,-75.146128,True,19106.0
8980501,2017-11-22 18:55:00,NY,4729365,,35 S 3RD ST,METER EXPIRED CC,36,PPA,39.949107,-75.146063,True,19106.0
8980502,2017-11-22 20:00:00,MA,4729366,,239 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.948523,-75.145857,True,19106.0
8980503,2017-11-22 20:05:00,PA,4729367,,200 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.948318,-75.144513,True,19106.0
8980504,2017-11-22 20:16:00,PA,4729368,,112 CHESTNUT ST,METER EXPIRED CC,36,PPA,39.948398,-75.143157,True,19106.0
8980505,2017-11-22 15:41:00,NY,4729369,,2200 CHESTNUT ST,EXPIRED INSPECTION,41,PPA,39.952603,-75.177462,True,19103.0
8980506,2017-11-11 14:06:00,PA,4729370,,3700 WALNUT ST,METER EXPIRED CC,36,PPA,39.95357,-75.198143,True,19104.0
8980507,2017-11-11 14:16:00,PA,4729371,,3700 MARKET ST,METER EXPIRED CC,36,PPA,39.956423,-75.196818,True,19104.0
